File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\engine\proteus\source\achievements\prAchievement_android.cpp,"prAchievement_Android::IsAwarded(const char *name, s32 id)",4,4,4,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_android.cpp,prAchievement_Android::IsReady(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_bada.cpp,"prAchievement_Bada::Award(const char *name, s32 id)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_bada.cpp,"prAchievement_Bada::IsAwarded(const char *name, s32 id)",4,4,4,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_bada.cpp,prAchievement_Bada::IsReady(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_ios.cpp,"prAchievement_Ios::Award(const char *name, s32 id)",7,5,3,1,1,0,1,1,
D:\engine\proteus\source\achievements\prAchievement_ios.cpp,"prAchievement_Ios::IsAwarded(const char *name, s32 id)",11,7,5,2,3,0,1,3,
D:\engine\proteus\source\achievements\prAchievement_ios.cpp,prAchievement_Ios::IsReady(),18,3,3,1,2,0,13,19,
D:\engine\proteus\source\achievements\prAchievement_linux.cpp,"prAchievement_Linux::Award(const char *name, s32 id)",7,5,3,1,1,0,1,1,
D:\engine\proteus\source\achievements\prAchievement_linux.cpp,"prAchievement_Linux::IsAwarded(const char *name, s32 id)",4,4,4,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_linux.cpp,prAchievement_Linux::IsReady(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_pc.cpp,"prAchievement_PC::Award(const char *name, s32 id)",4,4,4,0,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_pc.cpp,"prAchievement_PC::IsAwarded(const char *name, s32 id)",4,4,4,1,0,0,0,0,
D:\engine\proteus\source\achievements\prAchievement_pc.cpp,prAchievement_PC::IsReady(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\achievements\prLeaderboards.cpp,"prLeaderboard::Submit(const char *name, u64 score)",18,7,3,2,2,0,9,35,
D:\engine\proteus\source\achievements\prLeaderboards.cpp,prLeaderboard::SubmitEnabled(PRBOOL state),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\actor\prActor.cpp,prActor::prActor(s32 type),8,8,8,0,0,0,0,0,
D:\engine\proteus\source\actor\prActor.cpp,prActor::~prActor(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::prActorManager(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::~prActorManager(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::Registerfactory(prFactoryCallback cb),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::Create(s32 type),13,11,7,3,2,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::Release(prActor *actor),16,15,9,3,1,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::ReleaseAll(),10,8,6,1,2,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::Update(f32 time),39,33,19,7,5,0,1,2,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::Draw(),8,7,5,1,1,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,"prActorManager::SetPriority(prActor *actor, s32 priority)",43,36,22,7,6,0,1,2,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::Count() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,prActorManager::HowMany(s32 type),14,12,8,3,2,0,0,0,
D:\engine\proteus\source\actor\prActorManager.cpp,"prActorManager::FindByIndex(s32 type, u32 index)",21,18,12,5,3,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider.cpp,prAdvertProvider::prAdvertProvider(prAdvertProviderDetails *pDetails),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider.cpp,prAdvertProvider::~prAdvertProvider(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider.cpp,prAdvertProvider::ProviderType() const,3,3,3,1,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider.cpp,prAdvertProvider::ProviderName() const,3,3,3,1,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider.cpp,prAdvertProvider::ProviderHasCapability(u32 ability) const,3,3,3,1,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::prAdvertProvider_AdMob(),5,5,5,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::~prAdvertProvider_AdMob(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::Init(),2,1,1,0,0,0,1,1,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::Show(s32 type),7,6,4,1,0,0,1,1,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::Hide(),9,5,3,1,1,0,3,5,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::Update(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_AdMob.cpp,prAdvertProvider_AdMob::Draw(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::prAdvertProvider_iAds(),5,5,5,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::~prAdvertProvider_iAds(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::Init(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::Show(s32 type),8,6,4,1,1,0,1,1,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::Hide(),6,5,3,1,0,0,1,1,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::Update(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdvertProvider_iAds.cpp,prAdvertProvider_iAds::Draw(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::prAdverts(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::~prAdverts(),11,9,7,1,2,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::Add(prAdvertProvider *pProvider),8,7,5,1,1,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::Update(f32 dt),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::Draw(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::ShowAd(int type),10,8,6,1,2,0,0,0,
D:\engine\proteus\source\adverts\prAdverts.cpp,prAdverts::HideAd(),10,8,6,1,2,0,0,0,
D:\engine\proteus\source\analytics\prAnalytics.cpp,prAnalytics::prAnalytics(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalytics.cpp,prAnalytics::~prAnalytics(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalytics.cpp,prAnalytics::AddProvider(prAnalyticsBase *provider),11,10,6,2,1,0,0,0,
D:\engine\proteus\source\analytics\prAnalytics.cpp,"prAnalytics::Construct(const char *uid, const char *secret)",5,5,3,1,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalytics.cpp,"prAnalytics::Submit(const char *name, const char *values)",9,7,5,2,2,0,0,0,
D:\engine\proteus\source\analytics\prAnalytics.cpp,prAnalytics::Commit(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsBase.cpp,prAnalyticsBase::prAnalyticsBase(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsBase.cpp,prAnalyticsBase::~prAnalyticsBase(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsBase.cpp,"prAnalyticsBase::Construct(const char *appId, const char *secret)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsBase.cpp,prAnalyticsBase::Commit(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsFlurry.cpp,prAnalyticsFlurry::prAnalyticsFlurry(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsFlurry.cpp,prAnalyticsFlurry::~prAnalyticsFlurry(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsFlurry.cpp,"prAnalyticsFlurry::Construct(const char *appId, const char *secret)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\analytics\prAnalyticsFlurry.cpp,"prAnalyticsFlurry::Submit(const char *name, const char *value)",31,15,7,2,8,0,8,25,
D:\engine\proteus\source\analytics\prAnalyticsFlurry.cpp,prAnalyticsFlurry::Commit(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_OnLoad(JavaVM *vm, void *reserved)",11,9,7,3,2,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_OnUnload(JavaVM *vm, void *reserved)",2,2,2,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,prJNISetPackageName(const char *package),4,4,4,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,prJNISetActivityName(const char *activity),4,4,4,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,prJNISetProviderName(const char *provider),4,4,4,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,prJNISetAnalyticName(const char *analytic),4,4,4,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_MakeFinalClassName(const char *pClassName),8,6,6,1,2,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_GetEnv(JNIEnv **env, bool &isAttached)",16,13,9,4,2,0,1,8,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_GetClass(JNIEnv *env, const char *className, bool isAttached)",12,11,7,3,1,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SongPlay(const char *filename),37,27,17,6,5,0,5,15,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SongStop(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SongSetVolume(float volume),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SongPause(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SongResume(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SFXLoad(const char *filename),42,30,20,10,7,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SFXGetState(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_SFXPlay(int sid, float volume)",41,29,19,10,7,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SFXInit(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SFXStop(int sid),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SFXSetVolume(float volume),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_OpenURL(const char *url),38,28,18,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_ShowAchievements(),41,29,19,10,7,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_ShowLeaderboards(),41,29,19,10,7,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_ShowDashboard(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_ShowPurchaseDialog(),41,29,19,10,7,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_ShowScoreloopTerms(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_IsScoreloopEnabled(),41,29,19,10,7,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_SubmitLeaderboardScore(const char *name, int score)",38,28,18,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_AwardAchievement(const char *name),38,28,18,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_AdvertInit(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_AdvertShow(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_AdvertHide(),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,JNI_SubmitFlurry(const char *str),37,27,17,6,5,0,5,12,
D:\engine\proteus\source\android\prJNIInterface.cpp,"JNI_SubmitFlurry(const char *str1, const char *str2)",37,27,17,6,5,0,5,12,
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,prOpenALDeviceList::prOpenALDeviceList(),78,54,34,9,17,0,7,48,
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,prOpenALDeviceList::~prOpenALDeviceList(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,prOpenALDeviceList::GetNumDevices() const,6,6,3,2,0,0,0,0,
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,prOpenALDeviceList::GetDeviceName(s32 index),15,10,5,3,5,0,0,0,
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,prOpenALDeviceList::GetMaxSources(int index) const,9,9,5,3,0,0,0,0,
D:\engine\proteus\source\audio\prOpenALDeviceList.cpp,prOpenALDeviceList::GetNumSources() const,28,20,13,6,5,0,3,16,
D:\engine\proteus\source\audio\prOpenALErrors.cpp,AL_ErrText(int error),27,21,14,7,6,0,0,0,
D:\engine\proteus\source\audio\prOpenALErrors.cpp,ALC_ErrText(int error),27,21,14,7,6,0,0,0,
D:\engine\proteus\source\audio\prOpenALErrors.cpp,ALUT_ErrText(int error),83,63,42,21,20,0,0,0,
D:\engine\proteus\source\audio\prOpenALErrors.cpp,ALC_ErrorCheck(void *device),30,23,12,5,7,0,0,0,
D:\engine\proteus\source\audio\prOpenALErrors.cpp,AL_ErrorCheck(),22,15,8,4,7,0,0,0,
D:\engine\proteus\source\audio\prOpenALErrors.cpp,ALUT_ErrorCheck(),24,16,9,4,8,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::prSoundManager(),28,25,21,1,2,0,1,3,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::~prSoundManager(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,"prSoundManager::LoadSongs(const char **filenames, int count)",5,5,5,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::SongPlay(s32 index),8,8,5,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::SongSetMasterVolume(f32 volume),7,7,4,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,"prSoundManager::SFXPlay(const char *name, f32 volume, bool loop)",33,25,14,6,8,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::SFXSetMasterVolume(f32 volume),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::DisplayUsage() const,1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager.cpp,prSoundManager::IsSoundAvailable() const,6,6,3,2,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManagerShared.cpp,prLoadedWave::prLoadedWave(),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManagerShared.cpp,prLoadedWave::~prLoadedWave(),11,9,5,1,2,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::prSoundManager_Android(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::~prSoundManager_Android(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::Initialise(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::Release(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::Update(f32 dt),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,"prSoundManager_Android::LoadSFX(const prSFXInfo *sfx, s32 count)",1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SongPlayByName(const char *filename),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SongStop(f32 time),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SongPause(bool pause),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SongGetPaused() const,3,3,3,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SongSetVolume(f32 volume),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,"prSoundManager_Android::SFXPlay(s32 index, f32 volume, bool loop)",5,5,5,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXStop(s32 index),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXStop(const char *name),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXStopAll(),1,1,1,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXIsPlaying(s32 index) const,4,4,4,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXIsPlaying(const char *name) const,4,4,4,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,"prSoundManager_Android::SFXPause(s32 index, bool state)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,"prSoundManager_Android::SFXPause(const char *name, bool state)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXPauseAll(bool state),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXGetPaused() const,3,3,3,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,prSoundManager_Android::SFXGetActive() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Android.cpp,"prSoundManager_Android::SFXSetVolume(s32 index, f32 volume)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::prSoundManager_Ios(),31,28,24,1,2,0,1,3,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::~prSoundManager_Ios(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::Initialise(),72,53,32,9,13,0,6,25,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::Release(),36,26,14,5,6,0,4,10,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::Update(f32 dt),47,36,19,6,8,0,3,8,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,"prSoundManager_Ios::LoadSFX(const prSFXInfo *sfx, s32 count)",57,40,25,4,13,0,4,10,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SongPlayByName(const char *filename),87,60,43,7,21,0,6,18,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SongStop(f32 time),23,19,13,2,4,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SongPause(bool pause),42,34,17,6,6,0,2,4,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SongGetPaused() const,22,18,8,5,4,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SongSetVolume(f32 volume),29,24,11,4,4,0,1,2,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,"prSoundManager_Ios::SFXPlay(s32 index, f32 volume, bool loop)",59,39,24,6,14,0,6,15,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXStop(s32 index),26,22,10,5,4,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXStop(const char *name),27,22,10,5,5,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXStopAll(),19,16,7,3,3,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXIsPlaying(s32 index) const,27,21,10,6,6,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXIsPlaying(const char *name) const,31,23,12,6,8,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,"prSoundManager_Ios::SFXPause(s32 index, bool state)",40,35,16,8,5,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,"prSoundManager_Ios::SFXPause(const char *name, bool state)",43,37,18,8,6,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXPauseAll(bool state),41,36,15,7,5,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXGetPaused() const,13,9,5,2,4,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,prSoundManager_Ios::SFXGetActive() const,6,6,3,2,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_Ios.cpp,"prSoundManager_Ios::SFXSetVolume(s32 index, f32 volume)",28,23,11,5,4,0,1,2,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,"ov_read_func(void *ptr, size_t size, size_t nmemb, void *datasource)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,"ov_seek_func(void *datasource, ogg_int64_t offset, int whence)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,ov_close_func(void *datasource),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,ov_tell_func(void *datasource),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::prSoundManager_PC(),40,32,28,1,7,0,1,11,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::~prSoundManager_PC(),30,20,10,3,5,0,5,12,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::Initialise(),114,89,50,15,15,0,10,34,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::Release(),34,26,14,5,4,0,4,10,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::Update(f32 dt),63,49,27,8,10,0,4,10,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,"prSoundManager_PC::LoadSFX(const prSFXInfo *sfx, s32 count)",82,62,37,5,15,0,5,18,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::SongPlayByName(const char *filename),158,121,78,10,29,0,8,30,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::SongStop(float time),40,31,22,2,8,0,1,1,
D:\engine\proteus\source\audio\prSoundManager_PC.cpp,prSoundManager_PC::SongPause(bool pause),36,32,13,6,4,0,0,0,
